Filename,Formula,Density,DeltaH,Velocity,Pressure,Temperature,Volume,H50,H
confmin1m22,C4H5N7O3,1.6069748640000001,96.35635956093772,6856.370873403657,19.43017574897998,4022.7830593121685,703.0667772825065,0.22808888888888879,2828285.121217268
confmin1m25,C4H7N9O3,1.596279412,110.49555915554849,6877.430595391906,19.46518857168485,3650.2795845175847,781.9970319023372,0.22986666666666664,2854507.800706448
confmin1m32,C4H4N8O5,1.6975159020000001,107.69597246250618,7653.4309604020345,25.06853415846593,4847.299213170709,688.1715919817524,0.26586666666666664,3335773.6163395825
confmin1m34,C4H4N8O5,1.71884754,105.69845848415027,7716.355609357158,25.68083217167506,4839.116877492728,688.1715919817524,-1.5228383461204658,3330142.7653699373
confmin1m35,C4H4N10O7,1.7744750599999999,120.65999141647657,8219.320195900415,29.710901462634123,5228.16484998816,699.6838533746724,0.631440322580645,3658062.528317732
confmin1m37,C4H5N9O5,1.7114759880000001,115.25325722224972,7689.331281455639,25.433486981147638,4683.620863524729,713.128589278837,1.4794444444444448,3340023.9391223188
confmin1m38,C4H3N9O7,1.774652066,117.40214890247226,8240.991787314413,29.869585226916538,5409.518904499067,677.9128253912387,0.6794016129032255,3667182.244556281
confmin1m39,C4H6N10O5,1.7226510899999998,122.5553793540924,7712.933877857862,25.693127215183644,4536.940160752362,735.3519425036484,1.9478780487804892,3336247.7602320644
confmin1m4,C4H5N7O3,1.6125960220000002,100.12041304102031,6880.649566110011,19.612262469835855,4041.6857806487938,703.0667772825065,0.219822222222222,2841574.996589279
confmin1m40,C4H4N10O7,1.775757532,119.86238546048305,8222.432724277576,29.74639968236374,5225.542331112954,699.6838533746724,1.4165555555555551,3656227.59420558
confmin1m41,C4H7N9O3,1.658481184,116.62579937717605,7071.1709690789285,21.08858599648149,3677.0308664698723,781.9970319023372,0.19897777777777742,2875427.223792719
confmin1m44,C4H5N9O5,1.721069714,115.24776116512253,7719.05976885533,25.71936414775542,4683.599654674506,713.128589278837,1.9775243902439046,3340008.814484879
confmin1m45,C4H6N8O3,1.642674986,108.15673859695448,6981.295970110656,20.431145740986192,3902.3366343983694,732.2235911980749,0.4468274193548387,2857382.9445029832
confmin1m46,C4H5N9O5,1.711024704,114.11113321224468,7686.123200301383,25.40811291053943,4679.213497206888,713.128589278837,-0.9084524329163628,3336880.9201976415
confmin1m48,C4H4N8O5,1.71050095,107.43286807439277,7693.291221962679,25.45069175804352,4846.221469312482,688.1715919817524,1.4015555555555554,3335031.9436329184
confmin1m49,C4H6N10O5,1.696857934,118.24001774896388,7626.469001069687,24.88620069319698,4521.199537817123,735.3519425036483,1.5947777777777776,3324672.862580418
confmin1m52,C4H5N9O5,1.72925588,120.46592699550088,7752.744661976908,26.020367040693202,4703.736144337842,713.128589278837,0.9623161290322582,3354368.7209515213
confmin1m53,C4H8N10O3,1.6924610059999998,127.16720452550187,7205.077314253606,22.176105828315098,3494.0943412282604,825.6491174728326,0,2884895.9092019317
confmin1m57,C4H8N10O3,1.674710348,124.46697521774337,7147.456658333222,21.678987435197133,3483.035601265935,825.6491174728326,-1.5399199984472034,2875765.270311676
confmin1m58,C4H7N9O3,1.643300866,116.4491203599879,7026.587037046236,20.702128306188946,3676.2598705491614,781.9970319023372,2.7919268292682915,2874824.3072711146
confmin1m61,C4H5N9O5,1.7171455860000002,114.03446917464721,7704.969558071969,25.589414961954585,4678.917656742861,713.128589278837,0.9330064516129031,3336669.9479048783
confmin1m63,C4H6N8O3,1.643175326,107.32534751957418,6981.006784602601,20.433421652975486,3898.454209851398,732.2235911980749,3.260290697674419,2854540.141658644
confmin1m64,C4H4N8O5,1.73057739,109.18794200488436,7758.452456903382,26.07095234048873,4853.410707632996,688.1715919817524,1.2386666666666664,3339979.373213082
confmin1m65,C4H7N9O3,1.6503248140000002,114.6753258384964,7043.332146529426,20.85748750483703,3668.5193456016345,781.9970319023372,3.366441860465116,2868771.2397367824
confmin1m66,C4H5N9O5,1.730984562,115.44445587107387,7750.1062928595975,26.01865726178302,4684.358684004345,713.128589278837,1.5352222222222223,3340550.100000088
confmin1m69,C4H7N9O3,1.683565682,119.34032614826789,7149.981248287504,21.766315371875276,3688.876580242118,781.9970319023372,-1.5442757355159529,2884690.53680338
