Filename,Formula,Density,DeltaH,Velocity,Pressure,Temperature,Volume,OB2,Nweight
cgb5_28,C3N8O5,1.828254096,98.2706252966,8076.4545095275,29.20428395,4746.9272184353,638.3649439436,-7.014736321518465,49.12849593590394
cgb5_29,C3H2N8O2,1.767548622,94.617504717,6827.8012081423,20.453944551,2932.45534168,676.5499336135,-43.93016642798878,61.5339737347061
cgb5_3,C3H3N7,1.660034456,96.1852557361,4646.0543600053,9.1094239207,701.5556433793,816.9051519145,-87.52226978263468,71.51340869575114
cgb5_30,C3N8O4,1.790293538,85.0650496008,7604.5401122838,25.5690082233,4114.4311258922,633.7132626661,-15.08784520044718,52.83471164396253
cgb5_31,C3H1N7O2,1.725356204,83.0705562163,6652.1103897661,19.1300953967,2990.3610588744,636.7988076062,-43.09003269818238,58.680591174327624
cgb5_32,C4N10O8,1.866860644,108.1553034314,8490.5419987273,32.6747067035,5324.9061702869,637.7627687003,0.0,44.31027664858196
cgb5_33,C3H1N7O2,1.72387965,83.2060476612,6648.6236423111,19.0999556496,2991.1719685716,636.7988076062,-43.09003269818238,58.680591174327624
cgb5_34,C4N10O8,1.871328876,109.576199559,8506.7279406908,32.8451585706,5329.4011834872,637.7627687003,0.0,44.31027664858196
cgb5_35,C3H2N8O2,1.769504252,95.4602868432,6835.7592921411,20.5154003825,2937.0834601835,676.5499336135,-43.93016642798878,61.5339737347061
cgb5_36,C3H2N10,1.72688465,105.7874669201,4578.8029628308,9.0685790631,593.9279695274,754.5687622681,-62.8783721616228,78.63852888735133
cgb5_37,C3N12,1.749227372,107.7269107889,4369.9140358449,8.3254332632,527.7820432852,658.4604078633,-47.031122542715416,82.34694102516995
cgb5_38,C3N10O2,1.785027706,96.9512829606,6528.4323963869,18.8111809106,2358.1200210552,645.8498620121,-30.753602030582716,67.30822367741337
cgb5_39,C3H1N11O2,1.78196229,108.2947358948,6584.8758357424,19.1180481418,2352.4938151118,677.6849028746,-32.269499509081825,69.05649498679007
cgb5_4,C4H2N10O6,1.862735432,118.9062812415,8171.4042531534,30.2254746142,4703.6813409174,665.4502162154,-16.775426768881303,48.95357953500127
cgb5_40,C3N10O3,1.84348859,113.4904731923,7255.542195591,23.6849857016,3142.1319435567,649.7177788398,-21.418464211750877,62.502761077442706
cgb5_41,C3H1N9,1.695935098,95.7210675746,4377.6847602377,8.1969660223,586.8845455881,686.6938474806,-63.762037528554515,77.2900289478244
cgb5_42,C4N12O6,1.866313968,124.5600578083,7938.5164961591,28.55915359,4183.8631074983,645.9062487585,-10.252095671018417,53.85128008622336
cgb5_43,C3H1N9,1.690246736,95.0529617577,4359.9421160695,8.1136066741,582.7882584418,686.6938474806,-63.762037528554515,77.2900289478244
cgb5_44,C4N12O6,1.875229966,121.1428236126,7960.1562107581,28.7949285186,4172.9146305554,645.9062487585,-10.252095671018413,53.85128008622334
cgb5_45,C3H2N10,1.750273762,109.7493846372,4664.385158516,9.4887387189,616.1715661807,754.5687622681,-62.8783721616228,78.63852888735133
cgb5_46,C3N10O2,1.77577328,96.1661589911,6502.1756153538,18.6017357104,2354.3471623162,645.8498620121,-30.753602030582716,67.30822367741337
cgb5_47,C3H1N11O2,1.767636584,107.670123302,6545.9508832396,18.8006960981,2349.6942745678,677.6849028746,-32.269499509081825,69.05649498679007
cgb5_48,C3N10O3,1.81074942,110.2164636085,7156.2824784363,22.7980088768,3127.5221752551,649.7177788398,-21.41846421175088,62.502761077442706
cgb5_5,C3H4N8,1.68842825,104.0792812305,4804.7952299512,9.847131393,684.2033958502,883.5277686072,-84.14234631580098,73.66254997946983
cgb5_6,C4H1N9O6,1.850874952,110.0893698017,8134.0700234397,29.8380433155,4847.5341892356,640.336539639,-14.753744862184522,46.498281271808686
cgb5_7,C4H1N9O6,1.832272888,110.0433817889,8076.2496030908,29.2407761355,4847.3645590202,640.336539639,-14.753744862184522,46.498281271808686
cgb5_8,C5N12O12,1.933946284,138.6849688384,8584.5425149163,34.0888337205,5016.4097421007,639.8069915575,7.616464271373374,40.00707405646916
cgb5_9,C3H3N9O2,1.75052494,103.1183188641,6821.2722807633,20.2949740944,2867.917621499,710.2452162194,-44.64231087006967,63.952660735848546
